ROLL	Mark1	Mark2	Mark3	Mark4	Mark5	Department_ID	Student_ID
152211	50	70	60	30	80	D4	1
151123	51	71	61	31	81	D8	2
153416	52	72	62	32	82	D5	3
152517	53	73	63	33	83	D10	4
153214	54	74	64	34	84	D23	5
152801	55	75	65	35	85	D2	6
153103	56	76	66	36	86	D19	7
156211	57	77	67	37	87	D3	8
154133	58	78	68	38	88	D5	9
152425	59	79	69	39	89	D15	10
153444	60	80	70	50	30	D10	11
345432	61	81	71	51	31	D9	12
156666	62	82	72	52	32	D23	13
146783	63	83	73	53	33	D13	14
123456	64	84	74	54	34	D11	15
123428	65	85	75	55	35	D5	16
151233	66	86	76	56	36	D3	17
331145	67	87	77	57	37	D11	18
156783	68	88	78	58	38	D16	19
123454	69	89	79	70	54	D4	20
167895	70	90	80	71	55	D8	21
124566	71	91	81	72	56	D2	22
156787	72	92	82	73	57	D7	23
156788	73	93	83	74	58	D21	24
156789	74	94	84	75	59	D16	25
156710	75	95	85	76	60	D21	26
158711	76	96	86	77	61	D3	27
158712	77	97	87	78	62	D7	28
158713	78	98	88	79	63	D4	29
158714	79	99	89	80	64	D19	30
158715	80	45	90	81	65	D7	31
158716	81	46	91	82	66	D1	32
158717	82	47	92	83	67	D2	33
158718	83	48	93	84	68	D12	34
158719	84	49	94	85	69	D15	35
158720	85	50	95	86	70	D8	36
158721	86	51	96	87	71	D3	37
158722	87	52	97	88	72	D5	38
158723	88	53	98	89	73	D23	39
150987	90	45	67	57	58	D6	40
185674	70	60	68	89	59	D14	41
183456	96	69	76	69	67	D17	42
174569	90	58	67	89	90	D20	43
194587	47	78	77	57	90	D22	44
126458	90	80	78	68	95	D23	45
120487	89	57	78	79	90	D6	46
198347	95	69	95	68	59	D17	47
139267	79	80	83	76	85	D14	48
124867	78	68	94	78	95	D20	49
142984	48	49	60	70	90	D22	50
157890	86	46	78	34	97	D18	51
190045	83	56	64	56	54	D18	52
